test_id,type,status,order_ok,order_error,onset_idx,onset_time_s,onset_value_N,min_force_idx,min_force_time_s,min_force_value_N,p1_idx,p1_time_s,p1_value_N,p2_idx,p2_time_s,p2_value_N,take_off_idx,take_off_time_s,take_off_value_N,landing_idx,landing_time_s,landing_value_N,key_points_count
699c481e8e59d198a5550846,cmj,ok,True,,1408,1.4021,8648.609623345865,1550,1.5435,2950.2643382458177,1980,1.9717,19758.503132042904,2287,2.2774,15947.079145726218,2386,2.376,328.8287717041758,2844,2.8321,305.78210299016655,6
699d5c818e59d198a555084a,cmj,ok,True,,1513,1.5097,7498.050650838574,1726,1.7222,1702.200422535807,2135,2.1303,14264.899710357337,,,,2310,2.3049,270.5504593416029,2618,2.6123,241.31045250182893,5
699d60208e59d198a555084b,cmj,ok,True,,928,1.0235,7635.783098309202,1117,1.2319,2166.9407351589934,1436,1.5838,14142.998034835942,1566,1.7271,14578.692297262696,1701,1.876,251.76358690864834,1994,2.1992,283.9097800775464,6
699d609d8e59d198a555084d,cmj,ok,True,,1028,1.2689,7403.072214919416,1174,1.4491,1963.756393857263,1512,1.8664,13433.381832187444,1694,2.091,13860.156526188915,1815,2.2404,275.93579272070474,2079,2.5662,282.93352238892186,6
699d62d58e59d198a555084f,cmj,ok,True,,1260,1.4121,7919.0457547390415,1449,1.6239,1741.033586617684,1634,1.8312,18668.815729057365,1822,2.0419,17053.152066337123,1933,2.1663,246.07191479613442,2397,2.6863,207.1795027173361,6
699d63418e59d198a5550850,cmj,ok,True,,485,0.4993,2705.0872718820738,488,0.5024,2702.9099374829057,1375,1.4157,14184.468166484583,2089,2.1508,15373.520344642684,2544,2.6192,119.95473070205614,2611,2.6882,113.14273185706486,6
699d63568e59d198a5550851,cmj,ok,True,,1433,1.582,2247.590478841271,1606,1.773,-468.6152670704143,1988,2.1947,14048.459062642392,,,,2055,2.2687,-136.5983784226258,2473,2.7302,115.03816166484619,5
699d67358e59d198a5550853,cmj,ok,True,,1301,1.4395,5944.489770191486,1410,1.5601,3327.6510878093522,1646,1.8212,13600.339774104275,1817,2.0104,16068.776830883811,2217,2.453,636.5383755654992,2267,2.5084,529.3802075659021,6
699d67518e59d198a5550854,cmj,ok,True,,1159,1.2645,6111.368910405254,1328,1.4489,3503.618889930081,1709,1.8646,16187.42678833368,1857,2.0261,695.7422531540731,2308,2.5181,643.3885868453633,2359,2.5738,618.4429324294348,6
699d67808e59d198a5550855,cmj,ok,True,,531,0.6108,6534.357139422752,635,0.7304,3333.9362755045267,1045,1.202,15632.426744294606,,,,1141,1.3124,660.214269390448,1746,2.0083,612.1628721943356,5
